count,superkingdom,phylum,class,order,family,genus,species,strain,filename,sig_name,sig_md5,total_counts
92043,d__Bacteria,,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
5208,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
8110,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
9892,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
9892,d__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
9892,d__Bacteria,p__Bacteroidota,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
6806,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
6806,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
10225,d__Bacteria,p__Bacillota_A,c__Clostridia,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
10225,d__Bacteria,p__Bacillota_A,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1783,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002265625,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1031,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1031,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1031,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1031,d__Bacteria,p__Bacillota,c__Bacilli,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1031,d__Bacteria,p__Bacillota,,,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1913,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
1192,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
